address_id,address,city,postal_code,longitude,latitude
152,17 IMP DES JARDINS,VALLEIRY,74520,5.967928,46.1079478
153,140 CHEM DE LAGROUNE,ANGRESSE,40150,-1.37342,43.65801
154,8 RUE DE LA BRIDE,AURILLAC,15000,2.4433101,44.9285441
155,488 RTE DE SONNEX,SAINT-LAURENT,74800,0.79977,43.3253
156,7 CHE DES MYRTES,BEAULIEU SUR MER,6310,7.33375,43.7088
157,11 RUE DU 11 NOVEMBRE 1918,LOUHANS,71500,5.2232175,46.6291425
158,9 PL DU HUIT MAI 1945,PIERRELAYE,95480,2.1557195,49.0231851
159,44 CHE DES MUSICIENS,GERARDMER,88400,6.8776965,48.0705772
160,175 ALL DES AMANDIERS,SAINT-CYR-SUR-MER,83270,5.711516,43.1810087
161,103 IMP DU BAGUIER,DRAGUIGNAN,83300,6.4627333,43.5374662
162,10 RUE DE NAVARIN,PARIS 09,75009,-51.4184074476139,-22.1216302
164,18 BD VITAL BOUHOT,NEUILLY-SUR-SEINE,92200,2.2695658,48.884683
165,147 BD DE STRASBOURG,NOGENT-SUR-MARNE,94130,2.4917292,48.8388009
166,14 PL DE LA REPUBLIQUE,CHALETTE-SUR-LOING,45120,2.738158032225153,48.021751800000004
167,92 AV ROGER SALENGRO,SAVIGNY-SUR-ORGE,91600,2.3458417,48.6794572
168,11 AV NAPOLEON 3,AJACCIO,20000,8.7376029,41.9263991
169,7 RUE DU PARADIS,AGEN,47000,0.6176112,44.2015827
170,640 AV DE BREDASQUE,AIX EN PROVENCE,13090,5.4474738,43.5298424
172,1013 RTE DE LEPLASSOTTE,PRECHACQ-LES-BAINS,40465,-0.9092859,43.7579965
173,49 RUE DES CARNETS,CLAMART,92140,2.2630292,48.800368
174,3 SQ MAZARINE,VANNES,56000,-2.7599079,47.6586772
175,9 RUE DU HUREPOIX,ABLIS,78660,1.8368758,48.517153
176,10 RUE DU PRE DE FOIRE,GRIMAUD,83310,6.5222979,43.2737698
177,2 AV DE L ACACIA,DRANCY,93700,2.4455201,48.9229803
179,10 RUE DES 4 VENTS,CABREROLLES,34480,3.12514,43.5445
180,313 BD ARISTIDE BRIAND,SAVIGNY-SUR-ORGE,91600,2.3458417,48.6794572
181,10 RUE DE LA HETRAIE,LE HAVRE,76620,0.1079732,49.4938975
182,57 RUE EDOUARD BRANLY,VALENCE,26000,-0.3763353,39.4697065
183,9 RUE DES SEUX,POUILLOUX,71230,4.3600234,46.607825
184,13 AV DU BARON ROUILLARD DE BEAU,LE COUDRAY,28630,1.5011729,48.4205915
185,280 RTE DE KERBERS,PLOUZANE,29280,-4.6212044,48.3817165
186,16 AV DES FRERES LUMIERE,BRY-SUR-MARNE,94360,2.5193322,48.8352872
187,39 RUE MAL DE LATTRE DE TASSIGNY,LE HAVRE,76600,0.1079732,49.4938975
188,4 RUE JOHN FITZGERALD KENNEDY,SAINT MAX,54130,6.2074377,48.7005548
189,12 RUE DES FLEURS,LAGNY-SUR-MARNE,77400,2.7056056,48.8773018
190,9 RUE AMEDEE GORDINI,LIMOGES,87280,1.2644847,45.8354243
191,292 BD FOSSE DEUX,ROUVROY,62320,2.9036734,50.393427
192,5344 CHE DE LA RAPAUDIERE,POLLIONNAY,69290,4.6607806,45.7659276
194,5 IMP DES FRICHOTS,EPIEDS,27730,3.4455556,49.1072222
195,7 RUE DES QUETEURS,TOULOUSE,31000,1.4442469,43.6044622
196,91 RUE PIERRE BROSSOLETTE,RUEIL-MALMAISON,92500,2.1802832,48.87778
197,70 RUE ANATOLE FRANCE,GRENOBLE,38100,5.7357819,45.1875602
198,2 ALL DES COQUELICOTS,VIEILLEVIGNE,44116,1.6577206,43.4021153
200,17 RUE DE MALTE,PARIS 11,75011,106.6679415,20.8672043
201,72 AV DU 11 NOVEMBRE 1918,BANDOL,83150,5.7523647,43.1357717
202,93 CHE ARIOLIA,BRISCOUS,64240,-1.3339998,43.4602151
203,40 RUE SAINT HONORE,AMIENS,80000,2.2956951,49.8941708
204,19 RUE HENRI VASSEUR,ARGENTEUIL,95100,2.2481797,48.9479069
205,2 RUE ANNE PAVAGEAU,AVORD,18520,2.6511406,47.0353206
206,14 QUAI DU DOLAIZON,VALS-PRES-LE-PUY,43750,3.8757116,45.0300955
207,66 RES LE LAMPARO,LEUCATE,11370,3.0270222,42.910007
208,16 RUE MONTOIR POISSONNERIE,CAEN,14000,-0.3635615,49.1813403
209,1072 RTE DE SAINT JEAN,ANTIBES,6600,7.10905,43.5836
210,33 RUE DU COMMANDANT ROLLAND,HERIMONCOURT,25310,6.8819894,47.4419332
211,4 TRA DE LA GIRONNE,MARSEILLE 8EME,13008,5.3646989,43.3331411
212,22 CHE DE LA PETITE COTE,MENAUCOURT,55500,5.3556748,48.650118
213,45 AV DE LA TABLE DE PIERRE,FRANCHEVILLE,69340,4.8817511,47.4542392
214,39 RTE NATIONALE 2 TAKAMAKA,SAINT PHILIPPE,97442,-73.4790045,45.3584499
215,80 RUE CURIAL,PARIS 19,75019,106.6675532,20.8655311
216,1671 RTE DE FLASSAN,VILLES-SUR-AUZON,84570,5.2338492,44.0582508
217,4 PAS MENDES FRANCE,BEAUCOURT,90500,6.9256448,47.4851387
218,20 RTE DES CHAMPS,THIERVILLE,27290,0.7166293,49.2663557
221,13 RUE DE LA DOLVE,TOURS,37000,0.6889268,47.3900474
222,13 RUE PONTCOTTIER,BOURGOIN-JALLIEU,38300,5.2828123,45.5872259
223,29 RUE DE BOD AVEL,LOCMINE,56500,-2.8362402,47.8874274
224,4 RUE FERME,VENDOME,41100,1.0662256,47.7934453
225,27 RUE DU MOULIN DAVID,LE GUE D ALLERE,17540,-0.8618852,46.1885136
226,207 CHE DES ECOLES,BIZONNES,38690,5.3792727,45.4541664
227,49 RUE DU VAL,PROVINS,77160,3.2988089,48.5602959
228,32 RUE DE BEAUFORT,PLERGUER,35540,-1.8461116,48.5272074
229,9 CHE DES COMBES,LE POUGET,34230,3.52403,43.5917
230,4 CITE BEL AIR,ETAPLES,62630,1.6386252,50.5139552
231,2 RTE DE CHAMPIGNY,TINQUEUX,51430,3.98601,49.2479
232,30 RTE DES COMBES,VAUJANY,38114,6.078412,45.1576422
233,3 RUE PRAIRIAL,CHENOVE,21300,5.00308,47.2932
235,185 ALL DE L'OPPIDUM,DIVONNE-LES-BAINS,1220,6.143049,46.3570916
236,20 RUE DU PROFESSEUR POZZI,PERIGUEUX,24000,0.7184407,45.1909365
237,16 RUE DU CLAPAS,CEBAZAN,34360,2.97109,43.405
238,2 PL DE L'EGLISE,IVRY-SUR-SEINE,94200,2.3872525,48.8122302
239,16 QUAI DES MARINIERS,NEMOURS,77140,2.6953079,48.268026
240,12 RUE DES MUES,SION LES MINES,44590,-1.5919675,47.7350228
241,35 RUE DE L ETANG,FEUCHEROLLES,78810,1.9723953,48.8725969
242,88 AV DE LA PLAGE,BENODET,29950,-4.1109828,47.8746373
243,15 AV ARISTIDE BRIAND,MONTESSON,78360,2.1492681,48.9076421
244,4 AV DE CARTHAGE,AIX EN PROVENCE,13100,5.4474738,43.5298424
246,13 RUE DE NAUDIN,CONDE LES HERPY,8360,4.2234152,49.5285593
247,248 RUE DE LA FICAUDIERE,PORNIC,44210,-2.1040102,47.1152695
248,21 RUE PASTEUR,BOULOGNE SUR MER,62200,1.6118771,50.7259985
249,32 RUE BASFROI,PARIS 11,75011,106.6679415,20.8672043
250,32 RUE DES ORMEAUX,PARIS 20,75020,106.6674407,20.8651077
251,6 SQ FONTAINE BELLERIE,BEAUVAIS,60000,2.0823355,49.4300997
252,6 RUE DES PENSEES,GOUSSAINVILLE,95190,2.4733628,49.0323168
253,5 RUE VICTOR HUGO,REUGNY,37380,2.61549,46.4635
255,18 RUE DE BESANCON,PONTARLIER,25300,6.3546345,46.9040348
256,317 RUE BAIXA DA BANHEIRA,PLAISIR,78370,1.9476363,48.817399
257,13 RUE DE MONTFLEURY,SARCELLES,95200,2.3796245,48.9960813
258,61 RUE GAMBETTA,LA ROCHELLE,17000,-1.1520434,46.1591126
259,20 RUE DU GENERAL LECLERC,PERENCHIES,59840,2.9744656,50.6679447
260,73 RUE JEAN BONAL,LA GARENNE-COLOMBES,92250,2.2465748,48.9069349
261,18 IMP DE LA CLOTTE,BERAT,31370,19.954381043129516,40.7049677
262,55 RUE VANEAU,PARIS 07,75007,22.2978661,60.3033531
263,9 RUE JULES GREVY,ROMILLY SUR SEINE,10100,3.7264161,48.5195734
264,7 RUE DE BRAM,LOUHANS,71500,5.2232175,46.6291425
265,61 RUE SAINT DIZIER,NANCY,54000,6.1834097,48.6937223
266,13 PL DE TRION,LYON 5EME,69005,4.7978696,45.7565519
267,31 ALL DU LUXEMBOURG,LE MANS,72000,0.1967849,48.0073849
268,32 RUE DES PYRENEES,LOURDES,65100,-0.0464975,43.0940904
269,6 RUE ERNEST RENAN,FITZ JAMES,60600,2.4283593,49.3918395
270,5386 RLE SAINT JEAN,BASSE POINTE,97218,-61.1135064,14.8682266
271,3 RUE D ORMESSON,DEUIL LA BARRE,95170,2.3275141,48.9756423
273,1 RUE DU NOROIT,BELFORET-EN-PERCHE,61130,0.4822233326530634,48.384084
275,178 CLOS LES PRIMEVERES,VIUZ-EN-SALLAZ,74250,6.4096733,46.148621
277,24 RUE DU HAUT MONT,ARCHETTES,88380,6.5339545,48.1247246
279,2 SEN MEREVILLE,CHESSY,77700,2.7658363,48.8798792
280,101 ALL DES GLYCINES,LA GARDE,83130,6.0449399,45.0691999
281,2 PL DE LA LIBERATION,BANNALEC,29380,-3.6981199,47.9325142
283,18 AV CHARLES DE GAULLE,LE BLANC-MESNIL,93150,2.4631476,48.9385489
284,16 RUE DES FOUGERES,BRETTE LES PINS,72250,0.3376029,47.9107685
285,5 RUE VAUTHIER,BOULOGNE-BILLANCOURT,92100,2.240206,48.8356649
286,1 RUE DES ECOLES,ST-LON-LES-MINES,40300,-1.127217,43.6121612
287,7 RUE RABELAIS,NARBONNE,11100,3.0042121,43.1837661
288,83 AV FRANCOIS MITTERAND,CHATEAUROUX,36000,1.6770956,46.8203785
289,136 BD DE LA PAIX,VANNES,56000,-2.7599079,47.6586772
290,8 RUE DAGOBERT,CLICHY,92110,2.30551,48.9026
291,29 RTE DE LA THIBAUDIERE TERVES,BRESSUIRE,79300,-0.4929017,46.8425572
292,4 RUE DE PLOMB,TENAY,1230,5.5089185,45.9182969
293,40 RUE ITSAS ONDO,URRUGNE,64122,-1.7003017,43.3624715
294,2 RUE DE LA GUEULE DU FOUR,BRETIGNOLLES-SUR-MER,85470,-1.8538889,46.6286111
295,2 RUE DU COLONEL FABIEN,ROMILLY SUR SEINE,10100,3.7264161,48.5195734
296,14 RUE JULES FERRY,MERIGNAC,33700,-0.6469599,44.8422361
297,42 RUE AMBROISE CROIZAT,VILLEJUIF,94800,2.3633048,48.7921098
298,6 RUE ELYSEE BENAVENQ,COURNONTERRAL,34660,3.7188857,43.557935
299,22 RUE RAISIN,SAINT-ETIENNE,42000,4.3873058,45.4401467
300,10 RUE DE LA PERRINE,VATAN,36150,1.809034,47.0714569
301,27 RUE DU SOUVENIR,THUIR,66300,2.7557657,42.6291282
302,23 RUE PUEBLA,PERIGUEUX,24000,0.7184407,45.1909365
303,31 RUE GENERAL MORAND,PERIGUEUX,24000,0.7184407,45.1909365
304,17 BD BELLES MANIERES,MONTARGIS,45200,2.7310072,47.9978628
306,83 RUE DE LA GARE,PLUVIGNER,56330,-3.0095755,47.7770909
307,9 RUE MAL LECLERC,LE BONO,56400,-2.947793,47.6402896
308,1 CHE DES BUISSONNETS,LISIEUX,14100,0.2255168,49.1460831
309,2 PL SAINT JEAN,LYON 5EME,69005,4.7978696,45.7565519
310,23 RUE BARATIER,ARGENTEUIL,95100,2.2481797,48.9479069
311,34 RUE DU GAL F. LEON ORMANCEY,VILLERON,95380,2.5406393,49.05765
312,34 AV DE FOIX,VARILHES,9120,1.6272972,43.0424295
313,6 RUE DU BOIS DE CLAQUET,MONDEVILLE,14120,-0.3202231,49.1771038
314,73 RUE CARNOT,SAUJON,17600,-0.9244473,45.6742681
315,9001 RES LES JARDINS OCCITANS,RAMONVILLE ST AGNE,31520,1.4749101,43.5460533
316,10 RUE DE LA FORET,CAMBOUNES,81260,2.43979,43.5861
317,23 CHE BARRIEU,BLAGNAC,31700,1.37799,43.6434
318,4 RUE FERNAND SABATTE,CHAMIGNY,77260,3.151646,48.9737096
319,69 AV VICTOR HUGO,LE BOUSCAT,33110,-0.5992399,44.8661755
320,37 ALL DES DAMES,TOURNON-SUR-RHONE,7300,4.832852,45.0675156
321,2 RUE COLETTE,TOULOUSE,31200,1.4442469,43.6044622
322,235 AV LE JOUR SE LEVE,BOULOGNE-BILLANCOURT,92100,2.240206,48.8356649
323,9100 RUE DU PDS DE LA FARINE,PRADES,66500,4.3160861,44.6382
324,181 AV COSTA DE BEAUREGARD,LA MOTTE SERVOLEX,73290,5.8767935,45.5984113
325,21 RUE DU MAL LATTRE DE TASSIGNY,SAULCY-SUR-MEURTHE,88580,6.9604301,48.2376936
326,6 RUE BRAULT,ANGERS,49100,-0.5515588,47.4739884
327,67 RUE DE LA PLAINE,ROQUEFORT,47310,0.6036111,43.7591667
328,489 RUE DE CAEN,IFS,14123,-0.3496385,49.1380679
329,84 RUE ST JACQUES,NANTES,44200,-1.5541362,47.2186371
330,152 CHE TISNE,ARGAGNON,64300,-0.6860784,43.4585148
331,37 RUE DU TEMPLE,LA ROCHELLE,17000,-1.1520434,46.1591126
332,4 RUE D ARGOAT,PLOUVORN,29420,-4.0229425,48.5778741
333,25 RUE PIERRE DE COUBERTIN,SAINT-PORCHAIRE,17250,-0.7851176,45.8213544
334,1 RUE FRATERNITE,NOGENT SUR OISE,60180,2.4676727,49.2744711
335,4 RUE DE BUZENVAL,SAINT-CLOUD,92210,2.219344,48.8437412
336,21 CHE DU LYCEE,LA ROCHE SUR FORON,74800,6.3121658,46.0672189
337,58 RUE DE GOUEDIC,SAINT-BRIEUC,22000,-2.7603283,48.5141134
338,96 RUE PASTEUR,ALBERTVILLE,73200,6.3925417,45.6754622
339,20 RUE DE L ABRIVADO,MILHAUD,30540,4.3084497,43.7896802
340,6 IMP DES MIMOSAS,LEZARDRIEUX,22740,-3.1064982,48.7867932
341,13 RTE D'ORGE,CHAULGNES,58400,3.103055,47.1286229
342,15 RUE PHILIPPE DE COMMYNES,AMIENS,80000,2.2956951,49.8941708
343,15 RUE DE LA RUCHE,LYON 3EME,69003,4.9018898,45.7109198
344,31 RUE DE MILLY,PERTHES,77930,2.555445,48.4758593
345,193 AV JACQUES DOUZANS,MURET,31600,1.3262332,43.4599858
346,26 RUE ELISABETH GELLY,LIBOURNE,33500,-0.2427217,44.9133742
347,2 RUE VICTOR HUGO,LACANAU,33680,-1.0784851,44.9776088
348,8 RUE GALPIN THIOU,TOURS,37000,0.6889268,47.3900474
349,4 MTE FLEURIE,BEAULIEU SUR MER,6310,7.33375,43.7088
350,46 RUE ROUBLOT,FONTENAY-SOUS-BOIS,94120,2.4749347,48.8490721
351,34 RUE HENRI BECQUEREL,SAINT-BRIEUC,22000,-2.7603283,48.5141134
352,45 ALL DES FEDES,LA CAVALERIE,12230,3.1572388,44.008237
353,49 RUE DES CARNETS,CLAMART,92140,2.2630292,48.800368
354,141 RUE ARISTIDE BRIAND,LEVALLOIS-PERRET,92300,2.2881683,48.892956
355,17 RUE DES ROMAINS,ANNECY,74370,6.1288847,45.8992348
356,20 RUE JACQUES HENRI LARTIGUE,ISSY-LES-MOULINEAUX,92130,2.273457,48.8250508
357,28 RUE DURAFOUR,RENNES,35000,-1.6800198,48.1113387
358,34 MTE DES CARRES,VIRIVILLE,38980,5.20332,45.3151
359,22 RUE DE BELFORT,CLICHY,92110,2.30551,48.9026
360,75 IMP DU PRE FALQUET,EPAGNY METZ-TESSY,74370,6.093513616324771,45.942964200000006
361,34 RUE PASTEUR,MESNIL-ESNARD (LE),76240,1.1391732,49.4119899
